CookerStat, GenerateAssetRegistry=0.023544, Initialize=0.125576, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
SavePackageTransactionId43AA8CC74565FA47DE2BD6B92F503B0A_0, Filename=D:/Unreal4Projects_LJS/MyStudy_LJS/Content/TwinStickShooter/Map/TSSMap.umap, AutoPackageBackupDelegate=0.307295, FlushAsyncLoading=0.006944, FlushStreamingFunc=0.114102, BlockTillAllRequestsFinished=0.018716, ResetLoadersForSaveUnMarkAllObjects=0.303973, TagPackageExports=0.099614, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.686128, GatherLocalizableTextData=0.671946, MarkNames=0.009961, SerializeSummary=0.014789, SerializeNames=0.063088, SerializeGatherableTextData=0.001509, BuildExportMap=0.025962, SortExportsNonSeekfree=0.018716, SortExportsSeekfreeConstructor=0.067618, SortExportsSeekfreeInner=3.755446, SortExportsSeekfree=0.006642, BuildDependencyMap=0.018112, SerializeImportMap=0.013888, SerializeExportMap=0.010867, SerializeDependencyMap=0.001810, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.348952, SerializeExports=1.297098, SerializeBulkData=0.016600, MoveFile=1.065869, UnaccountedTime=0.083916, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F8D6F2F8461FABAFD5467597FCDD3074__1_0_13123_0, StartTime=2016.06.03-22.58.34, HierarchicalDDC=, DataSize=537, Duration=5.332067, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_57F1D9984885B545D3E2B08C0CECA954__1_0_13123_0, StartTime=2016.06.03-22.58.34, HierarchicalDDC=, DataSize=409, Duration=3.431853, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A63654442A9B947E9ED59ACBF48BB09__1_0_13123_0, StartTime=2016.06.03-22.58.45, HierarchicalDDC=, DataSize=525, Duration=4.588284, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_87B45A944AAC7D7CEC8698AB8E9EA651__1_0_13123_0, StartTime=2016.06.03-22.58.45, HierarchicalDDC=, DataSize=563, Duration=4.232995, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7304BF714E2BACB70D8E1C9CCF2A6C3B__1_0_13123_0, StartTime=2016.06.03-22.58.45, HierarchicalDDC=, DataSize=473, Duration=12.170423, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D98461FB4EACE3619DB3CD97FC38CFCD__1_0_13123_0, StartTime=2016.06.03-22.58.45, HierarchicalDDC=, DataSize=409, Duration=3.771748, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2C24A7254170302F68B1D6B5164FE17E__1_0_13123_0, StartTime=2016.06.03-22.58.47, HierarchicalDDC=, DataSize=487, Duration=4.122209, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_03CD244648E7176CA9ADC39B09DA9428__1_0_13123_0, StartTime=2016.06.03-22.58.47, HierarchicalDDC=, DataSize=625, Duration=3.930830, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_440E159C4503B5179370F79179AC0861__1_0_13123_0, StartTime=2016.06.03-22.58.47, HierarchicalDDC=, DataSize=561, Duration=4.682463, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6B8525CF485E8EA51EA0A4BE4F37A7E7__1_0_13123_0, StartTime=2016.06.03-22.58.47, HierarchicalDDC=, DataSize=397, Duration=3.401369, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
